camara,departamento,duracion_segundos,fecha_fin,fecha_ini,id,id_legislador,lema,sublema,titular
Cámara de Senadores,,86340.0,2017-11-09 23:59:00,2017-11-09 00:00:00,1001,6661,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Carámbula Volpi, Marcos Gustavo"
Cámara de Senadores,,86340.0,2018-04-18 23:59:00,2018-04-17 00:00:00,1002,9982,PARTIDO NACIONAL,ALIANZA NACIONAL,"Besozzi, Guillermo"
Cámara de Senadores,,86340.0,2018-08-09 23:59:00,2018-08-08 00:00:00,1003,9982,PARTIDO NACIONAL,ALIANZA NACIONAL,"Larrañaga, Jorge"
Cámara de Senadores,,86340.0,2018-08-16 23:59:00,2018-08-14 00:00:00,1004,9982,PARTIDO NACIONAL,ALIANZA NACIONAL,"Larrañaga, Jorge"
Cámara de Senadores,,86340.0,2018-08-21 23:59:00,2018-08-21 00:00:00,1005,9982,PARTIDO NACIONAL,ALIANZA NACIONAL,"Alonso, Verónica"
Cámara de Senadores,,86340.0,2018-10-17 23:59:00,2018-10-17 00:00:00,1006,9982,PARTIDO NACIONAL,ALIANZA NACIONAL,"Besozzi, Guillermo"
Cámara de Senadores,,86340.0,2018-10-24 23:59:00,2018-10-24 00:00:00,1007,9982,PARTIDO NACIONAL,ALIANZA NACIONAL,"Besozzi, Guillermo"
Cámara de Senadores,,86340.0,2018-10-25 23:59:00,2018-10-25 00:00:00,1008,9982,PARTIDO NACIONAL,ALIANZA NACIONAL,"Alonso, Verónica"
Cámara de Senadores,,86340.0,2018-11-08 23:59:00,2018-11-07 00:00:00,1009,9982,PARTIDO NACIONAL,ALIANZA NACIONAL,"Larrañaga, Jorge"
Cámara de Senadores,,86340.0,2018-11-15 23:59:00,2018-11-13 00:00:00,1010,9982,PARTIDO NACIONAL,ALIANZA NACIONAL,"Larrañaga, Jorge"
Cámara de Senadores,,86340.0,2018-11-24 23:59:00,2018-11-16 00:00:00,1011,9982,PARTIDO NACIONAL,ALIANZA NACIONAL,"Larrañaga, Jorge"
