asistencias,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id_comision,id_senador,licencia,otras_comisiones
0,1,1,0,2015-08-17 00:00:00,927,9891,0,0
0,1,1,0,2015-08-31 00:00:00,927,9891,0,0
1,1,0,0,2015-09-07 00:00:00,927,9891,0,0
0,1,1,0,2015-09-14 00:00:00,927,9891,0,0
1,1,0,0,2015-09-28 00:00:00,927,9891,0,0
1,1,0,0,2015-10-05 00:00:00,927,9891,0,0
0,1,1,0,2015-10-19 00:00:00,927,9891,0,0
0,1,1,0,2016-03-07 00:00:00,927,9891,0,0
0,1,1,0,2016-04-04 00:00:00,927,9891,0,0
1,1,0,0,2016-04-11 00:00:00,927,9891,0,0
0,1,1,0,2016-05-09 00:00:00,927,9891,0,0
1,1,0,0,2016-06-13 00:00:00,927,9891,0,0
1,1,0,0,2016-06-20 00:00:00,927,9891,0,0
0,1,1,0,2016-07-04 00:00:00,927,9891,0,0
0,1,1,0,2016-08-01 00:00:00,927,9891,0,0
1,1,0,0,2016-08-08 00:00:00,927,9891,0,0
1,1,0,0,2016-09-19 00:00:00,927,9891,0,0
1,1,0,0,2016-09-26 00:00:00,927,9891,0,0
0,1,1,0,2016-10-03 00:00:00,927,9891,0,0
1,1,0,0,2016-10-17 00:00:00,927,9891,0,0
0,1,1,0,2016-10-24 00:00:00,927,9891,0,0
1,1,0,0,2016-11-07 00:00:00,927,9891,0,0
1,1,0,0,2016-11-14 00:00:00,927,9891,0,0
1,1,0,0,2016-11-21 00:00:00,927,9891,0,0
1,1,0,0,2016-12-05 00:00:00,927,9891,0,0
0,1,1,0,2016-12-12 00:00:00,927,9891,0,0
0,1,1,0,2016-12-19 00:00:00,927,9891,0,0
1,1,0,0,2017-03-06 00:00:00,927,9891,0,0
1,1,0,0,2017-03-13 00:00:00,927,9891,0,0
1,1,0,0,2017-03-27 00:00:00,927,9891,0,0
0,1,1,0,2017-04-03 00:00:00,927,9891,0,0
1,1,0,0,2017-04-24 00:00:00,927,9891,0,0
1,1,0,0,2017-05-08 00:00:00,927,9891,0,0
1,1,0,0,2017-05-15 00:00:00,927,9891,0,0
0,1,1,0,2017-05-29 00:00:00,927,9891,0,0
1,1,0,0,2017-06-05 00:00:00,927,9891,0,0
1,1,0,0,2017-06-12 00:00:00,927,9891,0,0
0,1,1,0,2017-06-26 00:00:00,927,9891,0,0
0,1,1,0,2017-07-03 00:00:00,927,9891,0,0
0,1,1,0,2017-07-10 00:00:00,927,9891,0,0
1,1,0,0,2017-07-31 00:00:00,927,9891,0,0
1,1,0,0,2017-08-07 00:00:00,927,9891,0,0
0,1,1,0,2017-08-14 00:00:00,927,9891,0,0
1,1,0,0,2017-09-25 00:00:00,927,9891,0,0
