,estado,fecha_entrada,id_ficha,id_senador,organismo,tipo,titulo,nombre
102,REALIZADO,2018-07-16,140518,5167,MTSS*,PEDIDO DE INFORME,PEONES PRÁCTICOS Y OBREROS NO ESPECIALIZADOS. OBRAS DEL ESTADO (LEY 18516). APLICACIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
103,REALIZADO,2018-07-10,140439,5167,MGAP*,PEDIDO DE INFORME,"PESCA. FINES INVESTIGACIÓN, CIENTÍFICOS Y DOCENTES. PERMISOS. REGLAMENTACIÓN. INFORMES.","Lacalle Pou, Luis Alberto"
104,REALIZADO,2018-07-02,140314,5167,MINISTERIO TURISMO,PEDIDO DE INFORME,BRAZO LAGUNA GARZÓN (MALDONADO). DESARROLLO URBANÍSTICO - TURÍSTICO. PROYECTO. INFORMES.,"Lacalle Pou, Luis Alberto"
105,REALIZADO,2018-06-21,140190,5167,MRREE*,PEDIDO DE INFORME,ASAMBLEA GENERAL ONU. ENMIENDA PROPUESTA EEUU. VOTACIÓN URUGUAY. INFORMES.,"Lacalle Pou, Luis Alberto"
106,REALIZADO,2018-06-07,140044,5167,MRREE*,PEDIDO DE INFORME,ASAMBLEA GENERAL OEA. 48º PERÍODO ORDINARIO SESIONES. REPRESENTACIÓN URUGUAY. INFORMES.,"Lacalle Pou, Luis Alberto"
107,REALIZADO,2018-06-02,140313,5167,MVOTMA*,PEDIDO DE INFORME,BRAZO LAGUNA GARZÓN (MALDONADO). DESARROLLO TURÍSTICO Y URBANÍSTICO. PROYECTO. INFORMES,"Lacalle Pou, Luis Alberto"
108,REALIZADO,2018-05-14,139698,5167,MINISTERIO TURISMO,PEDIDO DE INFORME,RUSIA. COPA MUNDIAL FIFA. URUGUAY. PROMOCIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
109,REALIZADO,2018-05-14,139696,5167,MRREE*,PEDIDO DE INFORME,URUGUAY. MARCA PAIS. COPA MUNDIAL FIFA RUSIA 2018. PROMOCIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
110,REALIZADO,2018-05-14,139699,5167,SECRETARIA NACIONAL DEPORTE,PEDIDO DE INFORME,RUSIA. COPA MUNDIAL FIFA. URUGUAY. PROMOCIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
111,REALIZADO,2018-05-08,139708,5167,MTSS*,PEDIDO DE INFORME,PEONES PRÁCTICOS Y OBREROS NO ESPECIALIZADOS. OBRAS DEL ESTADO (LEY 18516). APLICACIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
112,REALIZADO,2018-01-30,138215,5167,MINISTERIO INTERIOR,PEDIDO DE INFORME,JEFATURAS DE POLICÍA DE MONTEVIDEO Y CANELONES. COMPROMISO CON LA GESTIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
113,REALIZADO,2017-09-14,136690,5167,ANP*,PEDIDO DE INFORME,EQUIPO DE DRAGADO MULTIPROPÓSITO. ADQUISICIÓN. LICITACIÓN PÚBLICA. ADJUDICACIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
114,REALIZADO,2017-07-03,135525,5167,MGAP*,PEDIDO DE INFORME,INMUEBLES RURALES Y EXPLOTACIONES AGROPECUARIAS. DERECHO PROPIEDAD. TITULARIDAD. EXCEPCIONES. INFORMES.,"Lacalle Pou, Luis Alberto"
115,REALIZADO,2017-06-27,135462,5167,MINISTERIO INTERIOR,PEDIDO DE INFORME,MINISTERIO INTERIOR. FUNCIONARIOS. SITUACION. INFORMES.,"Lacalle Pou, Luis Alberto"
116,REALIZADO,2017-06-27,135463,5167,MINISTERIO INTERIOR,PEDIDO DE INFORME,MINISTERIO INTERIOR. FUNCIONARIOS. DERECHOS Y OBLIGACIONES. INFORMES.,"Lacalle Pou, Luis Alberto"
117,REALIZADO,2017-06-27,135461,5167,MINISTERIO INTERIOR,PEDIDO DE INFORME,FONDO TUTELA SOCIAL POLICIAL. FUNCIONAMIENTO. INFORMES,"Lacalle Pou, Luis Alberto"
118,REALIZADO,2017-05-30,135025,5167,ARMADA NACIONAL,PEDIDO DE INFORME,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,"Lacalle Pou, Luis Alberto"
119,REALIZADO,2017-05-30,135025,5167,MRREE*,PEDIDO DE INFORME,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,"Lacalle Pou, Luis Alberto"
120,REALIZADO,2017-05-30,135025,5167,ANP*,PEDIDO DE INFORME,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,"Lacalle Pou, Luis Alberto"
121,REALIZADO,2017-05-30,135025,5167,MGAP*,PEDIDO DE INFORME,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,"Lacalle Pou, Luis Alberto"
122,REALIZADO,2017-05-08,134794,5167,SUPREMA CORTE JUSTICIA,PEDIDO DE INFORME,VIOLENCIA DOMÉSTICA. JUZGADOS. DENUNCIAS Y DIAGNÓSTICOS. SITUACIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
123,REALIZADO,2017-05-08,134798,5167,MINISTERIO INTERIOR,PEDIDO DE INFORME,VIOLENCIA DOMÉSTICA Y DE GÉNERO. UNIDADES ESPECIALIZADAS. FUNCIONAMIENTO. INFORMES.,"Lacalle Pou, Luis Alberto"
124,REALIZADO,2017-05-02,134640,5167,MGAP*,PEDIDO DE INFORME,CHINA. SOJA. EXPORTACIÓN. REQUISITOS FITOSANITARIOS. PROTOCOLO. INFORMES.,"Lacalle Pou, Luis Alberto"
125,REALIZADO,2017-04-25,134515,5167,MINISTERIO INTERIOR,PEDIDO DE INFORME,ESTADIO CENTENARIO. SISTEMA DE IDENTIFICACION FACIAL. FALLOS SISTEMA. INFORMES.,"Lacalle Pou, Luis Alberto"
